         24650899 function calls (24431755 primitive calls) in 35.117 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10847    0.003    0.000    0.003    0.000 fromnumeric.py:2320(_all_dispatcher)
    10308    0.003    0.000    0.003    0.000 function_base.py:4214(_delete_dispatcher)
     2000    0.003    0.000    0.042    0.000 lax.py:5091(_abstractify)
     1001    0.002    0.000    0.015    0.000 fromnumeric.py:2092(sum)
    10513    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     8392    0.002    0.000    0.002    0.000 linear_util.py:94(__nonzero__)
     2101    0.002    0.000    0.007    0.000 contextlib.py:107(__enter__)
    10325    0.002    0.000    0.002    0.000 fromnumeric.py:2546(_amax_dispatcher)
     6009    0.002    0.000    0.005    0.000 lax_numpy.py:2546(<genexpr>)
      100    0.002    0.000    0.003    0.000 linalg.py:1458(svd)
     6600    0.002    0.000    0.002    0.000 lazy.py:133(<genexpr>)
      200    0.002    0.000    0.003    0.000 decomp_qr.py:13(safecall)
     2003    0.002    0.000    0.131    0.000 lax.py:84(neg)
     4198    0.002    0.000    0.005    0.000 linear_util.py:189(<lambda>)
     2003    0.002    0.000    0.002    0.000 {method 'indices' of 'slice' objects}
     2101    0.002    0.000    0.008    0.000 contextlib.py:237(helper)
    10301    0.002    0.000    0.002    0.000 multiarray.py:469(can_cast)
     2104    0.002    0.000    0.012    0.000 tree_util.py:47(tree_flatten)
      200    0.002    0.000    0.007    0.000 basic.py:261(solve_triangular)
     1000    0.002    0.000    0.021    0.000 xla.py:864(__float__)
      100    0.002    0.000    0.004    0.000 decomp_lu.py:152(lu)
     6009    0.002    0.000    0.003    0.000 lax_numpy.py:2547(<genexpr>)
      100    0.002    0.000    0.002    0.000 _decomp_qz.py:55(_iuc)
      300    0.002    0.000    0.005    0.000 lax.py:1239(_eye)
     2003    0.002    0.000    0.133    0.000 lax_numpy.py:415(<lambda>)
     2098    0.002    0.000    0.002    0.000 core.py:948(apply_todos)
      504    0.002    0.000    0.002    0.000 utils.py:259(_is_ascii)
     1263    0.002    0.000    0.003    0.000 threading.py:1080(is_alive)
     1001    0.002    0.000    0.003    0.000 api_util.py:80(<listcomp>)
      254    0.001    0.000    0.001    0.000 threading.py:216(__init__)
     1002    0.001    0.000    0.002    0.000 api_util.py:85(wrap_hashably)
      252    0.001    0.000    0.002    0.000 std.py:1427(format_dict)
     6600    0.001    0.000    0.001    0.000 lazy.py:134(<genexpr>)
     4198    0.001    0.000    0.001    0.000 linear_util.py:80(__init__)
      700    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     2101    0.001    0.000    0.002    0.000 core.py:509(next_level)
      254    0.001    0.000    0.016    0.000 iostream.py:384(write)
      252    0.001    0.000    0.124    0.000 iostream.py:336(flush)
      100    0.001    0.000    0.007    0.000 linalg.py:1647(cond)
      400    0.001    0.000    0.001    0.000 {method 'dot' of 'numpy.ndarray' objects}
